perm,rf,rf_shap,variable,wv_rf,xgb,xgb_shap
0.011096233039906691,0.006309399556968376,207.14925298236736,F,11.298687728365342,0.01666036807000637,118.74104309082031
0.04512600596686804,0.020633803706102745,687.2155227948905,I,31.107179229483187,0.0206788070499897,802.5457763671875
0.010073357665992601,0.005310669209145925,130.64015050331182,M,9.880574791190726,0.004356015007942915,39.943931579589844
0.0678426761972033,0.07058744078141528,476.4406102455708,length,170.403071836425,0.0908220112323761,634.8103637695312
0.08538212656348608,0.09470798593865618,906.4875835778275,diameter,166.9321894310598,0.07976086437702179,760.4136352539062
0.11106295668997007,0.14199553731854672,1753.7617618635118,height,256.6448695835994,0.08916228264570236,1148.7464599609375
0.1226181786541953,0.14083271760437027,1562.7633531792974,whole weight,259.9017842804818,0.16023759543895721,5525.0185546875
0.20789378202866354,0.1286916079264837,2461.420740823193,shucked weight,334.6573808801128,0.21202805638313293,6563.279296875
0.08132904183707546,0.10902534204236562,794.0155723676469,viscera weight,304.7595798720488,0.10805097967386246,764.2850341796875
0.257575641356639,0.281905495915945,3839.586734673968,shell weight,725.5395171771739,0.21824303269386292,5586.27392578125
